"Moment","Concepts","Agency","Social"
"The time I got a raise at work after feeling like my productivity was not up to my own expectations.","career","no","no"
"Yesterday I played outside with my girlfriend which was nice to get a little relaxation time.","romance","yes","yes"
"I was told that one of my friends did well on his assignment for class.","education","no","yes"
"I made a ball pit for my kids.","family","yes","yes"
"An old friend sent me a message on Facebook that reminded me of a long time ago.","conversation","no","yes"
"I bought my first car within the last month.","shopping","yes","no"
"Spring break started.","vacation","no","no"
"Enjoying the season finale of The 100 (TV show).","entertainment","yes","no"
"Getting to visit with my sister.","family","yes","yes"
"I wrote a song that I really liked and feel good about making.","entertainment","yes","no"
"Finally watching a movie I've been wanting to see","entertainment","yes","no"
"I purchased a new Washing Machine to wash my clothes.","shopping","yes","no"
"I'm watching E3 coverage and a game I'm looking forward to and very fond of looks very promising.","entertainment","yes","no"
"Past Monday I've built my first Gundam plastic model, I was so excited for how much fun I had and how cool the model looks that I couldn't sleep for two days!","weather","yes","no"
"Our old dog got sick and we thought he might be dying, but he got better and it turned out to be a bacterial infection.","animals","no","yes"
"when i had a family time with my parents.","family","yes","yes"
"My dog made a nest out of blankets he found and has now declared it his little part of the house.","animals","no","no"
"I ran for a train yesterday, and someone held the door for me until I got on.","exercise","yes","yes"
"Traffic was good on my way to work so I was able to make up some time and ended up getting in on time instead of running late.","career","yes","no"
"I went to Hospital","family","yes","no"
"I attended a baseball game in which the Texas Rangers ACTUALLY won.","entertainment","yes","yes"
"I stopped by Pizza Hut and got a pepperoni and sausage stuffed crust pizza.","food","yes","no"
"Buying a new fragrance two days ago that smells like cedar and incense.","shopping","yes","no"
"I got to play with the dog at the gym.","animals","yes","yes"
"I made a new friend in my favorite online video game.","entertainment","yes","yes"
"Yesterday after court I took an extra hour to grab lunch with my girlfriend before going back to work.","career|food","yes","yes"
"This past weekend I went to two weddings.","romance","yes","no"
"Yesterday I was going to my friend marriage function","party","yes","yes"
"My husband was coming from dubai","family","no","yes"
"I sold my car privately!","shopping","yes","no"
"Today every one in home ate food and praised the taste of the food.","food","no","yes"
"sharing my meal with the small child.","food","yes","yes"
"Went to cousin's marriage","family|party","yes","yes"
"I went to the cinema to see a new release with my wife and kids.","entertainment|family","yes","yes"
"I went for a walk with my doggie.","animals|exercise","yes","no"
"I had a discussion with a sadist that led to a better understanding of my personal boundaries.","conversation","yes","yes"
"Going to the store and picking up some rare beer","shopping","yes","no"
"My supervisor gave me a raise last month and it was actually a lot higher than what I was expecting.","career","no","yes"
"I was able to sign up for classes for graduate school.","education","yes","no"
"I was able to be Dungeon Master in a Dungeons and Dragons game for the first time, with a group of my friends. ","entertainment","yes","yes"
"MY BEST FRIEND MARRIAGE","party","no","yes"
"When I went hiking a month ago on my own, I was happy because it was beautiful outside and I got to enjoy nature and relax while also feeling health and good about my body. ","weather|exercise","yes","no"
"My favorite barista was at the coffee shop this morning and she always brightens my morning.","food","no","yes"
"After a long day of work, I went to a dinner with some friends.","food|career","yes","yes"
"Ran my fastest 5K ever!","exercise","yes","no"
"Purchased a new table saw.","shopping","yes","no"
"I saw a beautiful sunset with double rainbows","weather","yes","no"
"My son said ""I love you mama"" for the first time.","family","no","yes"
"My fiance finally cut his hair this morning and I love when he cuts it because it looks so much nicer and makes me happy.","romance","no","yes"
"I like rainy days, and it is raining today.","weather","yes","no"
"I saved up enough money to buy a newer car then the one I have had for a long time.","shopping","yes","no"
"We went to Planet Fitness and exercised for about an hour as part of our effort to improve our health.","exercise","yes","yes"
"The special coffee I ordered came in yesterday and I had my first pot this morning.","family","yes","no"
"A small get together with my old friends yesterday in park, make me feel happy and pleasant. ","conversation|party","yes","yes"
"My husband and I cuddled and fell asleep","romance|family","yes","yes"
"I was very happy a couple days ago when I received a handwritten letter in the mail from my cousin, along with pictures of my family.","family","no","yes"
"My favorite NBA team is doing well in the playoffs.","entertainment","no","no"
"I was happy when I was playing with our dog Lucy and when I was showing her love and affection.","animals","yes","yes"
"Going out to eat with family and friends","food|family","yes","yes"
"My aunt bought me a huge packet of my favorite instant coffee.","family|food","no","yes"
"I have bought a new bike for myself and its very nice to ride.","shopping","yes","no"
"The executives of the company I work for visited our site to compliment me and my team for our excellent performance.","career","no","yes"
"I was romantically engaged with my boyfriend in a lonely place.","romance","no","yes"
"Beating a challenging level on the video game I've been playing","entertainment|technology","yes","no"
"I found out that a workshop I had missed was being offered again.","food","yes","no"
"I bought a new scooter for my son","shopping|family","yes","yes"
"My girlfriend said she loved me.","romance","no","yes"
"I spent time with my parents.","family","yes","yes"
"I bought new socks for playing basketball.","shopping","yes","no"
"today I found a 5 dollar bill on the ground at the grocery store.","food|shopping","yes","no"
"Yesterday i won marathon organised by my office, very happy. ","exercise","yes","yes"
"I did yoga this morning to try to make my back and neck more limber.","exercise","yes","no"
"I felt happy when my company won an award for the best customer service in our city.","career","no","no"
"I got to spend the day with my girlfriend and it was wonderful.","romance","yes","yes"
"I started applying for new jobs and that made me excited and happy.","career","yes","no"
"An event that made me happy was the afternoon that my 5 year old son learned to ride his bike without training wheels.","family","yes","yes"
"Went to my favorite actor's movie","entertainment","yes","no"
"I received a book in the mail that I am waiting to read.","education|entertainment","yes","no"
"Presenting my research at a research conference at my university.","education|career","yes","yes"
"Disassembled and put back together a aircraft engine that ran with very little problems at school.","education","yes","yes"
"I participated in a NASA meeting at JPL in Los Angeles and was complimented by the program manager for the Mars 2020 mission for my comments and observations on the safety analysis portion of the mission.","career","yes","yes"
"I planned a weekend getaway to Las Vegas","vacation","yes","no"
"I hit a long range shot into my wastebasket with a rolled up piece of paper.","education","yes","no"
"After searching for an hour to find a new shirt wear at a wedding, I finally found the perfect shirt at Express.","shopping","yes","no"
"Meeting up with my girlfriend at the park and just talking.","romance","yes","yes"
"I bought a lot of souvenirs for my relatives, family and friends on my trip to thailand","vacation|family|shopping","yes","yes"
"I went out to dinner and had an absolutely amazing italian meal.","food","yes","no"
"I was happy to receive flowers from my niece for Mother's Day.","family","no","yes"
"I received a phone call from a friend I had not heard from in quite some time.","conversation","no","yes"
"I found out there would be a free catered lunch at work today.","food|career","no","no"
"I got to enjoy the day with my son and go to the store.","family","yes","yes"
"Recently My sister came to India , When She came to India my family members received her in airport that day we feel very happy","family","no","yes"
"I watched an episode of a show on Netflix and it was really funny!","entertainment","yes","no"
"I got a phone call from my sister","conversation","no","yes"
"I was recognized at work for doing a good job training a new hire.","career","no","yes"
"I kissed my girlfriend today","romance","yes","yes"
"My youngest son made silly faces and sounds while laying on the ground.","family","no","yes"
"unexpectedly met my school time friend in a private function it was around 10 yrs after we met really very happy","education","yes","yes"
"A new compromise was made with my husband about a problem we've been having.","romance|family","yes","yes"
"None of the wine we brought home in our suitcases broke while in transit on the plane.","vacation","no","no"
"My son turned 1 years old and we had a party.","party|family","no","yes"
"There were two frozen waffles in the freezer when I had thought I had already eaten the last ones.","food","no","no"
"The order that I placed 3 times finally arrived correctly after the store sent the wrong product twice.","shopping","no","no"
"Last week I got a phone call from an old friend who I hadn't spoken to in 25 years.","conversation","yes","yes"
"I read an entertaining novel.","entertainment","yes","no"
"I got to binge watch Silicone Valley.","entertainment","yes","no"
"I finally received my first, though long overdue, annual review from my employer and the results of the review were better than I had anticipated.","career","yes","yes"
"I had an excellent submarine sandwich for lunch.","food","yes","no"
"The day I went to Yoga and Meditation for the relief of stress and mind tension.","exercise","yes","no"
"I ordered Chinese food last night as a treat for myself.","food","yes","no"
"Was able to go to see my local professional baseball team play this past weekend which was a great time","entertainment","yes","yes"
"I witnessed my 1-year-old daughter put on her own coat.","family","yes","yes"
"I was very happy last 24 hours when I received my incentive from my current working","career","yes","no"
"I was able to help a client today and I felt very proud, useful, and happy - especially because my depression has been making me feel really useless lately.","career","yes","yes"
"I was able to accomplish all the tasks that I was assigned this week at my work, with the last day of completion being today.","career","yes","no"
"My cord for my external hard drive came, so I can next making it work.","career","no","no"
"I hit my new monthly Mturk earning goal, for April.","career","yes","no"
"I went swimming at a local YMCA.","exercise","yes","no"
"I had a relaxing day of shopping with my mother-in-law for the first time in a long time.","shopping|family","yes","yes"
"We all family members went to a nearby restaurant and had a good meal.","food|family","yes","yes"
"I won a competition that I wasn't expecting to win.","education","yes","yes"
"My wife and I celebrated our five year anniversary in Paris.","romance","yes","yes"
"I got to put off a work project until tomorrow.","career","yes","no"
"I had lunch with my wife and daughter at my favorite Mexican restaurant.","food","yes","yes"
"My mom made a pie and brought it over just for me.","family|food","no","yes"
"My toddler took a nap","family","no","yes"
"Talking to my mom on the phone.","family|conversation","yes","yes"
"I went for a nature walk through a nearby nature reserve on a beautiful day, it was very relaxing and I enjoyed everything about it.","exercise|weather","yes","no"
"I slept in late and made a big breakfast.","food","yes","no"
"The last event that makes me happy is when I got a raise at work.","career","no","no"
"Walked around our Downtown for 5 miles with 2 dear friends.","exercise","yes","yes"
"I went for a walk in the park today so that made me happy.","exercise","yes","no"
"Enjoy a sunny day with my baby makes me happy.","weather","yes","no"
"I finished a really good show.","entertainment","yes","no"
"yesterday i received a message that i got promoted as a manager from my company","career","yes","yes"
"Cooking a very nice and yummy dinner for my husband and I.","food|family","yes","yes"
"I went on a long walk and let some of my problems fall away.","exercise","yes","no"
"After years of hard work and a series of disappointments in terms of my business school experience, i was finally accepted into every law school I applied to","education","no","no"
"I had a really delicious dinner last night.","food","yes","yes"
"My wife went to the doctor with some concerns, and came back with a good report and no bad news like we'd been fearing.","family","no","yes"
"I went for a walk with my husband and baby.","exercise|family","yes","yes"
"I completed a difficult training course for work and ended up getting out of work a few hours early.","career","yes","yes"
"I enjoyed swimming in the beach near chennai.","vacation","yes","no"
"The wife said she would give the kid a bath tonight instead of me.","family","no","yes"
"Completing this week's homework assignment for an online class I'm taking made me happy, as it's a topic I find difficult yet interesting.","education","yes","no"
"I was selected as one of the employees who would be sent to Australia for a week for development program.","career","yes","no"
"There was an art show at my daughters school in which she was a main participant in it.","family|education","no","yes"
"I got some soda at the store for a great price.","shopping","yes","no"
"I had a great conversation with someone via emails.","conversation","yes","yes"
"I did my Bible study this morning.","education","yes","no"
"Getting my new PC microphone made me incredibly happy.","shopping","yes","no"
"I landed an excellent summer teaching opportunity, so I am looking forward to the months ahead.","vacation","yes","no"
"Got to travel in an airplane.","vacation","yes","no"
"MY BEST FRIEND BIRTH PARTY","party","no","yes"
"I had wonderful birthday celebration with friends.","party","yes","yes"
"I played the piano and realized I had improved.","entertainment","yes","no"
"Having a safe flight.","vacation","no","no"
"The day my roommate and I attended a cultural event at our school.","education","yes","yes"
"I bought a box of cookies at the supermarket so every day I can enjoy one cookie while drinking coffee in the morning.","shopping","yes","no"
"now a days my mom is understanding my feelings and situations","family","no","yes"
"I started my wedding planning!","family|romance","yes","no"
"I was happy to watch Master of None; it's a pretty good show.","entertainment","yes","no"
"I found a nickel on the floor at the gym.","exercise","yes","no"
"I was happy when I got a raise at work.","career","no","no"
"I went for a run around the block.","exercise","yes","no"
"On our morning walk, my dog was scared of the chickens that we passed by and behaved goofily.","animals|exercise","no","no"
"I watched several episodes of Justified with my husband.","entertainment|family","yes","yes"
"I stepped on the scale and I lost 2 pounds in the last week.","exercise","yes","no"
"My wife got 2 days of paid vacation this week.","vacation|family","no","yes"
"I was able to take get my boss to approve me being off this Friday so that my wife and I can go to some wineries.","romance|family","yes","yes"
"I cooked a fantastic Greek chicken dinner with a friend.","food","yes","yes"
"When my daughter hit a homerun","family","no","yes"
"I went to the gym and had a really good workout.","exercise","yes","no"
"My brother's back surgery went very well.","family","no","yes"
"I shopped for and ordered a rebounder (mini trampoline) so that i have more options for exercise, thus increasing the amount of exercise that i will get. ","shopping|exercise","yes","no"
"completed a big project within a short span of time.","education|career","yes","no"
"I got a promotion at work.","career","yes","yes"
"The day my fiance proposed to me.","romance|family","no","yes"
"I got to eat my favorite food for lunch.","food","yes","no"
"I met my old friends we had the old chats and all those fun moments again.","conversation","yes","yes"
"I took a day off to enjoy a nice day.","weather|vacation","yes","no"
"My son finally got the dog to do the rollover trick without having to give him a treat because he did it with just a voice command.","animals","no","yes"
"The day of my brother marriage we met with many relatives after long time and we have a great get together and bring smile in Every face.So basically all cousin are met and have a great fun.","family|party","no","yes"
"I joined the Gym last month and started to workout.When I completed the first day of workouts ,I felt really happy and proud.It gave me a confidence and I was happy all night.","exercise","yes","no"
"Buying new phone from my earned money.","shopping|technology","yes","no"
"My happiest moment every day my mom say bye to me when i get ready to go something.","family","yes","yes"
"I got to spend time with my spouse away from tech and social media.","technology|family","yes","yes"
"I spent time with my mother and we didn't end up fighting at all, which is much more normal for us.","family","no","yes"
"My friend got married last Friday and at the rehearsal dinner he gave me a picture of all of the memories we had together for being his groomsman and it made me very happy to know that he remembered all of these things and took the take to make the picture for me.","romance","no","yes"
"I got a customer to do business with me.","career","yes","yes"
"I was able to buy a plot and a house in my name with my savings and little help with bank loan.","shopping","yes","no"
"After my 3 year anniversary at my current job, I was given a raise.","career","no","no"
"I went home to see my parents and sister.","family","yes","yes"
"My friend shared me a new funny video.","entertainment","yes","yes"
"My husband and I took a nap outside on a blanket in the sun in nice spring weather, all while our baby took a nap inside. ","weather|family","yes","yes"
"I had a good breakfast at a local deli.","food","yes","no"
"I found out that I there was an entire full season available to stream of a show that I was not caught up on.","entertainment","no","no"
"I called my ex and talked to him on speakerphone, and he said his cat heard my voice and looked around for me.","conversation|animals","yes","yes"
"I was happy when I watched a TV show with my husband in the middle of the day.","entertainment","yes","yes"
"A begger begs a TV.","entertainment","no","no"
"I was promoted a better position within my company.","career","yes","yes"
"I went out to eat at my favorite restaurant with friends.","food|entertainment","yes","yes"
"I had morning coffee with a friend","food|conversation","yes","yes"
"I successfully mastered the positions in my Tai Chi class.","education","yes","no"
"An old friend of mine came into town unexpectedly and we spent the whole day together.","conversation","no","yes"
"I was able to handle a large workload at my place of employment.","career","yes","no"
"Holding my son, Gabriel, right after he was born. ","family","yes","yes"
"My daughter looking and me and smiling left me happy.","family","no","yes"
"My husband took me out for a date night to celebrate last night.","romance","no","yes"
"I found out my best friend had his application approved to share residence at my apartment.","food","no","yes"
"I purchased one new phone","shopping","yes","no"
"I watched a Cavs playoff game in which they won very easily.","entertainment","no","no"
"I took a warm bath and it was very relaxing.","weather","yes","no"
"I met my old class teacher long back","conversation","yes","yes"
"My cousin and his girlfriend came from Canada after 2 years of not seeing each other.","family","no","yes"
"I went to a party with a friend of mine and was able to talk to a lot of people I had not spoken to in months.","party","yes","yes"
"I went for a nice run on the boardwalk.","exercise","yes","no"
"I ate a brownie.","food","yes","no"
"Talking to my sister who I have not talked to in months.","conversation|family","yes","yes"
"My son just turned 3 and two weeks ago he spoke in his first complete sentence- we were on a carnival ride and he said ""I like this choo-choo!""","family","no","yes"
"I have started saving money very recently and I plan on keeping it up.","career","yes","no"
"My friend bought me lunch","food","no","yes"
"I Went to see a new movie with my daughter.","entertainment","yes","yes"
"My granddaughter and grandson came over for dinner and spent the night with us.","food","no","yes"
"I ordered some snacks and they were really good.","shopping|food","yes","no"
"My bosses left early for the day, so my afternoon was fairly relaxed.","career","no","yes"
"DOING SEX WITH MY GIRLS FRIEND EVERY DAY","romance","yes","yes"
"One event that made me happy was my nephew's wedding.","family","no","yes"
"Ate a delicious dinner last night.","food","yes","no"
"I went apartment shopping all weekend and was so hopeful to actually see some places in my price range and see the layouts were nice and in the same city I live in.","shopping","yes","no"
"I was able to find time to play a game I enjoy.","entertainment","yes","no"
"I was happy to receive the cigars I ordered a day earlier than expected.","shopping","no","no"
"The weather has gotten better and I was able to spend some time outside in the sun.","weather","no","no"
"My daughter moved back after her first completed year of college.","education|family","no","yes"
"I got my brother to help me buy together an Elliptical machine so I can lose weight this summer and get healthy.","family|exercise","yes","yes"
"I enjoyed a drink on the patio and watched the rain.","weather|entertainment","yes","no"
"I had a bagel with extra cream cheese for breakfast.","food","yes","no"
"I reached my exercise goal for the day.","exercise","yes","no"
"I got straight A's this semester!","education","yes","no"
"I prepared a nice meal for my girlfriend and she liked it.","food|romance","yes","yes"
"I had a very pleasant and personal conversation with a friend of mine.","conversation","yes","yes"
"I was happy to feed a homeless dog that came to my vacation home for 5 straight days.","animals|vacation","yes","no"
"I was happy when I got an offer for a job I had applied to a month ago and that I thought would never respond back.","career","yes","yes"
"I started watching an anime that is very entertaining so far.","entertainment","yes","no"
"I was able to have steak on the grill made for me, so delicious to have a home cooked meal.","food","no","no"
"Last night, I got to talk to my boyfriend.","romance|conversation","yes","yes"
"I skyped with my mom.","family","yes","yes"
"I was happy because I bought a new pair of shoes","shopping","yes","no"
"I came home to a clean house that my husband cleaned for me.","family","yes","yes"
"I visited my home town for the first time in four years.","vacation|family","yes","no"
"I treated myself to ice cream one hot Saturday afternoon.","food|weather","yes","no"
"My husband and I went golfing together at a beautiful golf course in beautiful weather.","weather|romance|family","yes","yes"
"I was happy when I was listening to music.","entertainment","yes","no"
"Last night I went to the cinema.","entertainment","yes","no"
"I was happy when I finished work early.","career","yes","no"
"I was very happy to see my partner come home from work because I was looking forward to telling her about my day.","career|conversation","yes","yes"
"Last week my neighbor baked us a pie for dessert.","food","no","yes"
"While my boyfriend and I were out to eat last night, we unexpectedly ran into friends and spent the rest of the evening catching up.","conversation|romance","yes","yes"
"I bought a new jewellery which made me happy","shopping","yes","no"
"I gave the pizza man a 20 dollar tip and it made me feel generous.","food","yes","yes"
"The weather was perfect yesterday; sunny, warm, and breezy.","weather","yes","no"
"I BOUGHT A BIKE LAST WEEK.","shopping","yes","no"
"I finally had my new refrigerator delivered, and it looks fantastic!","shopping","yes","no"
"I'm getting the hang of my new job.","career","yes","no"
"I cooked a pork roast in the crock pot and it turned out really well.","food","yes","no"
"Coming home after a half-day of work and having my wife have a delicious dinner ready.","food","yes","yes"
"I found an old song from my high school days that I had been looking for for a long time.","education","yes","no"
"My sister joined us for lunch today.","food","no","yes"
"My Mother gave me a surprise visit at my home.","family","no","yes"
"my mother surprised me by coming home with my favourite cooked meal","food|family","yes","yes"
"I had a great meal.","food","yes","no"
"My husband washed all the dishes and cooked dinner for me one night last week when I had to work late.","food|family","no","yes"
"Within the past 3 months, I was able to retire from my job after 30 years of employment.","career","yes","no"
"My sister had ordered a gift I had always longed for, which I received by mail.","shopping|family","no","yes"
"I got 101 points out of 100 in my socio-psychological class.","education","yes","no"
"While playing a team based game, a player I'd never interacted with before complimented my skills and thanked me for healing them so well.","entertainment","yes","yes"
"I played on a dart league and we won all of our games.","entertainment","yes","yes"
"Another event that made me happy was walking my dog.","animals","yes","no"
"i'm still the guy who's madly in love with her.i could stillremember the sweet smiles that picture in her face.","romance","yes","yes"
"I celebrated getting good grades with my family.","family|party","yes","yes"
"Made a big breakfast of eggs bacon on a bagel that was very tasty.","food","yes","no"
"I got all my errands done before going to see my friend this weekend.","vacation","yes","no"
"I was called in my boss' office and got a raise, made me very happy.","career","no","yes"
"My son learned how to say his name this week.","family","no","yes"
"My mother gave me a sum of money for no apparent reason.","family","no","yes"
"My husband and I finally finished restoring the old deck at our new house.","family","yes","yes"
"I filled out my vacation mail hold form on the USPS website today.","vacation","yes","no"
"Got a payment from a job","career","no","no"
"I had a delicious meal with a friend.","food","yes","yes"
"My friend sent me flowers on a random day, because he knew I've been struggling with a personal issue the past few weeks.","romance","no","yes"
"My mother paid off the entirety of my wedding ring repair bill.","family|shopping","no","yes"
"About to head out to go hang out with friends for a day","food","yes","yes"
"A housemate I don't like left on vacation.","vacation","yes","yes"
"My mom sent me a funny youtube clip of a baby and a puppy playing together.","entertainment","no","yes"
"I got a huge bonus on Mturk from a study that I completed a while ago and didnt figure that it would have ever been paid out.","career","no","no"
"The birth of my twin son this past April.","family","no","yes"
"Another happy moment i had was when i found out i was accepted into pharmacy school, i was ecstatic because i have been working at this for so long.","education|career","yes","no"
"I drove to a new job and met new people.","career","yes","yes"
"One of my dogs did something funny while chasing lizards in the backyard.","animals|entertainment","no","no"
"I enjoyed visiting an art gallery with my brother.","family","yes","yes"
"When my fiance came home from work and gave me a kiss","romance|career","yes","yes"
"After years of treating coffee drinking as a hobby, I recently tasted the best coffee of my life.","food","yes","no"
"I was happy when I bought Sniper Elite 4 mid-February.","shopping","yes","no"
"My state chemical dependency board approved me to sit for an exam that will grant my independent licensure.","education","yes","yes"
"WE CELEBRATED MY FRIEND BIRTHDAY.","party","no","yes"
"My Mom and I went to lunch and to get our hair done.","food|family","yes","yes"
"I spent time outside at the park with my daughter.","family","yes","yes"
"Last night I excercised on the treadmill for 30 minute and felt great afterwards.","exercise","yes","no"
"Eating a turkey and cheese sandwich that I made for myself.","food","yes","no"
"I bought a nice steak at a grocery store.","shopping","yes","no"
"I got through a new zone in my game I play that's been holding me back awhile.","entertainment","yes","no"
"My friend got a promotion at her job.","career","no","yes"
"Watched my son play lacrosse and truck one of the other players.","family|entertainment","no","yes"
"I got to play with my little niece who came to visit from California.","vacation","yes","yes"
"I managed to find some time to go to dinner with my family after it had been some time since the last time we managed to have dinner together.","food|family","yes","yes"
"I was hungry, and was surprised with breakfast.","food","no","yes"
"I celebrated my birthday with family and friends at a small informal dinner.","party|family","yes","yes"
"Knowing that I'm doing well going into finals week.","education","yes","no"
"I got drunk with my husband, and watched John Wick while we cuddled and pet our cats.","romance|animals","yes","yes"
"Went on a family vacation with 3 other couples with children with similiar ages as ours and had a great time.","family|vacation","yes","yes"
"I found out my girlfriend went out to the spa and enjoyed herself.","romance","no","yes"
"I Bought a new car for myself and my family.","shopping|family","yes","yes"
"i gave to one small gift to my father.","family","yes","yes"
"My son hit a triple in baseball.","family|entertainment","no","yes"
"I found a great place to live while I complete my internship.","education","yes","yes"
"Finishing work for the day","career","yes","no"
"Watched the season 2 premiere of Better Call Saul, it made me smile when Saul hit on his co worker.","conversation","yes","no"
"I watch a favorite old school episode","entertainment","yes","yes"
"MY FRIEND ALWAYS THAT DAY LONG TRIP FOR MORE PLACES WITH ENJOYABLE FOR US THAT A MOMENT IS REALLY UNFORGETTABLE EXPERIENCE IN MY LIFE HISTORY WE ARE SO ENJOYED AND LOVE THAT MOMENT","vacation","yes","yes"
"I was really happy to make a wedding cake for a friend as a gift.","party","yes","yes"
"I was happy when I was able to see my unborn baby on the ultrasound at the doctor's office.","family","no","yes"
"I finished a long day of work and it went well.","career","yes","no"
"I received birthday cards in the mail from family","family","no","yes"
"I worked outside on my lawn.","exercise","yes","no"
"A family trip to Canada is being scheduled for the next week and the booking details are confirmed.","vacation","no","yes"
"getting off work.","career","yes","no"
"I skipped work to go out to the movies with my wife.","romance|entertainment","yes","yes"
"I played NES.","entertainment","yes","no"
"I was happy when I was able to pay for part of my plane ticket with points instead of dollars.","shopping","yes","no"
"Teaching my son to ride his bicycle in the yard.","family","yes","yes"
"Bought a new golf bag last month and I've used it several time, love it","shopping","yes","no"
"I'd just got the Masters qualification on Mturk.","career","yes","no"
"YESTERDAY I SAW BAHUBALI 2 THE CONCLUSION MOVIE  WITH MY FRIENDS","entertainment","yes","yes"
"Overhearing my 4 year old son doing simple addition after playing an educational game for the previous few days.","entertainment|family|education","no","yes"
"I read a magazine that I really enjoyed.","entertainment","yes","no"
"Trying hard to find mobile when it is in non-vibrating silent mode, i searching the phone all around in my house, but i kept in my pocket, At that time all the members of my family looked me and started to laugh.","family","no","yes"
"I watched a funny show before bed","entertainment","yes","no"
"My flowers are trying to peek through the ground, meaning spring is here","weather","no","no"
"i was having a bad day and had to take care of a bunch of errands on my break and my coworker covered for me and take an extra long break so i could get everything done and relax.","career","yes","yes"
"I hit up three places in a row for pizza week.","food","yes","no"
"Going a new laptop after my old one broke.","shopping","yes","no"
"Yesterday my son brought art pictures its too good they shown a great meaning in it","family","no","yes"
"I won $20 on a scratch ticket last month.","entertainment","no","no"
"I tried a new restaurant 2 days ago and I was pleasantly surprised by how fresh and tasty the food was.","food","yes","no"
"My daughter called to tell me she got a new place to live.","family","no","yes"
"I finished a good book","entertainment","yes","no"
"The lift in my residence apartment which was out of order for last 3 days got repaired today","exercise","no","yes"
"It made me happy to see my son get his first home run playing baseball.","family","no","yes"
"My kids hugging me and giving me kisses, telling me they love me.","family","no","yes"
"Watched my favorite show all day long!","entertainment","yes","no"
"I spoke to a few of my friends about a trip that we have upcoming this weekend, and our plans.","conversation|entertainment|vacation","yes","yes"
"My cat came to me when I called it.","animals|conversation","yes","no"
"Yesterday, my roommate's two year old started trying to say my name.","food","no","yes"
"Finally, after months of losing, I won a drawing at a local bar for two free beers a day for the month.","entertainment","yes","no"
"We ate at Cheddar's today for lunch.","food","yes","yes"
"I got a $10 bonus on a Mturk HIT.","career","yes","no"
"My students did very well at the music competition last week.","education|entertainment","no","yes"
"MY BIRTHDAY CELEBRATION HELD ON YESTERDAY MADE ME HAPPY.BECAUSE IT WAS MY FIRST BIRTHDAY WITH MY HUSBAND.I ENJOYED AT THE CORE.","party","yes","yes"
"Seeing my 1 year old son's joy while running into my arms.","family","no","yes"
"This day marked one of the biggest honorable achievements of my life,because of i am top ranker of my college.","education","no","no"
"i got new jewels for my mom in first earnings","family|career","yes","yes"
"My husband put my brand new kitchen in","romance|shopping","no","yes"
"My whole family went to Disneyland last month, even cousins who lives out of states showed up and we have a blast together.","family","yes","yes"
"The Vice President of our company traveled down from Texas to shake my hand","career","no","yes"
"I had a really nice hour long phone conversation with my mom this evening.","conversation","yes","yes"
"I binged some anime with a good friend of mine.","entertainment","yes","yes"
"I ordered take out sushi from a place I love","shopping","yes","no"
"Cuddling with both of my dogs in my chair.","animals","yes","no"
"I was able to sell my car for a decent amount.","shopping","yes","no"
"Just this afternoon I got the chance to see the trailer for the new Super Mario Odyssey game and i was faced with child like excitement as i watched the new insane globe trotting 3D adventure this game will bring.","entertainment","yes","no"
"I WENT TO COLLEGE.","education","yes","no"
"The first nice weather day I took my Jeep out and was able to drive around with the roof and doors off.","weather","yes","no"
"Hearing that my mom's knee surgery when ok.","family","yes","yes"
"i am going to the my sister home for the birthday party.i fully enjoyed with my relatives.","party","yes","yes"
"I got a my dream job offer .","career","no","yes"
"Well my ex and I got back together and we've been having marathon sex for like 2 weeks now, so i got that going for me.","romance","yes","yes"
"I talked to a friend on the phone that I have not spoken to in months.","conversation","yes","yes"
"Another event that made me happy in the past 3 months was how skillfully my favorite sports team, the Washington Redskins, drafted their recent players.","entertainment","no","no"
"I had my favorite dinner food last night which was very tasty but bit costlier.","food","yes","no"
"My older daughter keeps patting my younger daughter's head.","family","no","yes"
"I called my girlfriend and talked for 30 minutes.","conversation|romance","yes","yes"
"Spending the weekend with my mom.","family","yes","yes"
"I become decision maker in my family.","family","yes","yes"
"I went to lunch with my friend and had a nice steak sandwich which was tasty.","food","yes","yes"
"One small event that recently made me happy was when I bought a scratch off from the gas station for $5 and won $10.","shopping","yes","no"
"I ate a wonderful cheeseburger.","food","yes","no"
"I passed my presentation in class with flying colours, and was well praised by my instructor.","education","yes","yes"
"I received a call letter from the University for my job","career","no","no"
"My cousin, who I have been tutoring, made the honor roll.","family","yes","yes"
"Heard a new song from my favorite artist.","entertainment","yes","no"
"My husband kissed me.","romance","no","yes"
"I was at McDonald's drive thru and the car in front of me paid for my lunch with out me knowing who the person was.","food","no","yes"
"I was happy when my son asked me to watch a show with him.","entertainment","no","yes"
"When my nephew was born that day was very pleasant for me since he was a boy and I always wanted that","family","no","yes"
"As a retired person on a fixed income I transferred my first earnings as an Amazon MTurk to my bank account.","career","yes","no"
"Starting a job as a firefighter.","career","yes","no"
"I brought a T-shirt for my husband in sale which he liked too much.","family|shopping","yes","yes"
"When my 10 month old daughter began to crawl","family","no","yes"
"one week back we are going to thirupathi tour","vacation","yes","yes"
"I finished a big project at work today.","career","yes","no"
"I have found a pack of my favorite crackers this morning.","food","yes","no"
"Planning out a vacation with my wife.","romance|vacation","yes","yes"
"My professor approved the revised proposal for my final project.","education","yes","yes"
